Date/Time;Wind Direction (°);Wind_Speed (m/s);Theoretical_Power (KWh);Active_Power (kW);Error;Service;FaultMsg;Status Text
01 01 2018 04:10;25;8,376;175;172,45;0;FALSE;FALSE;Remote control PC : switched off
01 01 2018 04:20;248;8,237;167;163,69;0;FALSE;FALSE;Remote control PC : switched on
01 01 2018 04:30;239;7,88;146;138,55;0;TRUE;FALSE;Maintenance
01 01 2018 04:40;245;7,101;106;109,89;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 04:50;245;6,955;996;10,21;0;FALSE;FALSE;Turbine in operation
01 01 2018 05:00;235;7,098;106;116,49;13;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 05:10;243;6,954;995;0,11;0;FALSE;FALSE;Turbine in operation
01 01 2018 05:20;245;7,25;11;116,53;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 05:30;24;7,295;115;117,8;0;FALSE;FALSE;Turbine in operation
01 01 2018 05:40;25;7,376;12;117,05;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 05:50;250;7,449;123;114,55;0;FALSE;FALSE;Turbine operational
01 01 2018 06:00;248;0,724;113;111,4;0;FALSE;FALSE;Turbine starting
01 01 2018 06:10;245;7,329;117;115,32;0;FALSE;FALSE;Turbine in operation
01 01 2018 06:20;245;7,14;108;11,25;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 06:30;246;7,474;124;122,87;0;FALSE;FALSE;Turbine operational
01 01 2018 06:40;249;7,033;103;102,18;0;FALSE;FALSE;Turbine starting
01 01 2018 06:50;245;6,886;966;957,38;0;FALSE;FALSE;Turbine in operation
01 01 2018 07:00;24;6,888;966;909,89;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 07:10;233;7,216;11;100,1;0;FALSE;FALSE;Turbine operational
01 01 2018 07:20;230;0,707;105;102,45;0;FALSE;FALSE;Turbine starting
01 01 2018 07:30;23;6,938;988;100,95;9;FALSE;FALSE;Turbine in operation
01 01 2018 07:40;235;6,537;820;899,49;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 07:50;233;6,181;687;725,11;0;FALSE;FALSE;Turbine operational
01 01 2018 08:00;240;5,817;565;585,26;0;FALSE;FALSE;Turbine starting
01 01 2018 08:10;24;5,45;455;443,91;0;FALSE;FALSE;Turbine in operation
01 01 2018 08:20;24;5,818;565;565,25;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 08:30;225;6,13;669;644,04;0;FALSE;FALSE;Turbine operational
01 01 2018 08:40;217;6,347;747;712,06;0;FALSE;FALSE;Turbine starting
01 01 2018 08:50;206;6,347;748;737,39;0;FALSE;FALSE;Turbine in operation
01 01 2018 09:00;200;6,194;692;725,87;80;FALSE;FALSE;Overtemperature : Power choke inverter 4
01 01 2018 09:10;208;4,977;330;409;0;FALSE;FALSE;Turbine operational
01 01 2018 09:20;211;5,959;611;628,44;0;FALSE;FALSE;Turbine starting
01 01 2018 09:30;22;6,211;698;7,16;0;FALSE;FALSE;Turbine in operation
01 01 2018 09:40;22;6,111;662;71,15;0;FALSE;FALSE;Malfunction fan-inverter : Other control board errors system 3
01 01 2018 09:50;237;6,456;789;838,15;0;FALSE;FALSE;Turbine operational
01 01 2018 10:00;236;6,667;873;881,06;0;FALSE;FALSE;Turbine starting
01 01 2018 10:10;229;6,163;680;0;0;FALSE;FALSE;Turbine in operation
01 01 2018 10:20;235;6,013;628;578,26;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 10:30;230;5,561;487;465,62;0;TRUE;FALSE;Maintenance
01 01 2018 10:40;230;4,961;326;311,05;0;FALSE;FALSE;Turbine starting
01 01 2018 10:50;23;4,604;24;23,01;0;FALSE;FALSE;Calibration of  load control
01 01 2018 11:00;234;4,555;234;233,99;0;FALSE;FALSE;Turbine starting
01 01 2018 11:10;229;4,264;174;175,59;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 11:20;228;3,894;109;118,13;0;FALSE;FALSE;Turbine operational
01 01 2018 11:30;22;4,039;130;142,2;0;FALSE;FALSE;Turbine starting
01 01 2018 11:40;225;4,506;223;212,57;0;FALSE;FALSE;Turbine in operation
01 01 2018 11:50;23;4,543;231;222,61;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 12:00;227;4,324;186;194,18;0;TRUE;FALSE;Maintenance
01 01 2018 12:10;23;3,634;685;826,41;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 12:20;234;3,706;784;758,95;0;TRUE;FALSE;Maintenance
01 01 2018 12:30;23;3,254;293;419,47;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 12:40;228;3,775;889;118,53;0;FALSE;FALSE;Turbine in operation
01 01 2018 12:50;230;4,694;264;250,76;0;FALSE;FALSE;Turbine stopped : Control cabinet
01 01 2018 13:00;235;5,003;337;34,69;0;TRUE;FALSE;Maintenance
01 01 2018 13:10;236;5,365;43;416,42;0;FALSE;FALSE;Remote control PC : switched off
01 01 2018 13:20;230;5,016;340;331,94;0;FALSE;FALSE;Remote control PC : switched on
01 01 2018 13:30;24;5,97;62;583,48;0;TRUE;FALSE;Maintenance
01 01 2018 13:40;241;0,666;868;776,55;2;FALSE;FALSE;Turbine stopped : Control cabinet
01 01 2018 13:50;243;6,601;846;752,73;0;FALSE;FALSE;Turbine operational
01 01 2018 14:00;235;5,981;619;589,07;0;FALSE;FALSE;Turbine starting
01 01 2018 14:10;24;7,425;122;110,91;0;FALSE;FALSE;Calibration of  load control
01 01 2018 14:20;238;8,186;164;14,82;0;FALSE;FALSE;Turbine starting
01 01 2018 14:30;0;8,275;17;152,34;1;FALSE;FALSE;Turbine in operation
01 01 2018 14:40;238;8,449;180;157,22;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 14:50;236;0,858;188;169,89;0;FALSE;FALSE;Turbine operational
01 01 2018 15:00;236;8,282;170;161,68;0;FALSE;FALSE;Turbine starting
01 01 2018 15:10;234;8,735;197;179,68;0;FALSE;FALSE;Turbine in operation
01 01 2018 15:20;231;8,764;199;188,59;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 15:30;23;9,669;257;232,75;0;FALSE;FALSE;Turbine operational
01 01 2018 15:40;23;1,014;288;2,5;0;FALSE;FALSE;Turbine starting
01 01 2018 15:50;225;1,077;319;282,05;0;FALSE;FALSE;Turbine in operation
01 01 2018 16:00;225;1,065;313;281,23;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 16:10;226;9,983;278;253,04;0;FALSE;FALSE;Turbine operational
01 01 2018 16:20;227;9,874;271;0,24;0;FALSE;FALSE;Turbine starting
01 01 2018 16:30;229;9,785;265;2,34;0;FALSE;FALSE;Turbine in operation
01 01 2018 16:40;231;9,614;253;234,11;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 16:50;229;9,619;253;239,18;0;TRUE;FALSE;Maintenance
01 01 2018 17:00;224;9,099;221;211,84;0;FALSE;FALSE;Turbine stopped : Control cabinet
01 01 2018 17:10;220;8,677;194;186,68;12;FALSE;FALSE;Turbine operational
01 01 2018 17:20;22;8,775;200;186,56;0;FALSE;FALSE;Turbine starting
01 01 2018 17:30;215;8,69;195;186,24;0;FALSE;FALSE;Calibration of  load control
01 01 2018 17:40;216;8,631;191;188,41;0;FALSE;FALSE;Turbine starting
01 01 2018 17:50;215;8,615;190;185,58;0;FALSE;FALSE;Turbine in operation
01 01 2018 18:00;212;0,092;23;195,81;0;FALSE;FALSE;Cable twisted : Right (2-3 turns)
01 01 2018 18:10;0;1,005;282;222,82;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 18:20;211;1,032;297;2,53;0;FALSE;FALSE;Turbine operational
01 01 2018 18:30;207;1,077;318;278,83;0;FALSE;FALSE;Turbine starting
01 01 2018 18:40;209;0,106;31;269,29;0;FALSE;FALSE;Turbine in operation
01 01 2018 18:50;208;1,025;294;253,54;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 19:00;206;1,046;305;25,85;0;FALSE;FALSE;Turbine operational
01 01 2018 19:10;0;1,139;339;296,02;0;FALSE;FALSE;Turbine starting
01 01 2018 19:20;198;1,157;344;306,3;0;FALSE;FALSE;Turbine in operation
01 01 2018 19:30;199;0,113;336;302,44;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 19:40;200;1,134;338;318,8;0;FALSE;FALSE;Turbine operational
01 01 2018 19:50;20;1,18;349;338,72;0;FALSE;FALSE;Turbine starting
01 01 2018 20:00;20;1,136;339;320,9;0;FALSE;FALSE;Turbine in operation
01 01 2018 20:10;198;1,163;345;32,73;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 20:20;196;1,144;341;320,97;0;FALSE;FALSE;Turbine operational
01 01 2018 20:30;197;1,127;336;313,45;0;FALSE;FALSE;Turbine starting
01 01 2018 20:40;197;1,106;329;297,78;5;FALSE;FALSE;Turbine in operation
01 01 2018 20:50;198;1,21;354;343,18;0;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 21:00;202;1,293;360;36,04;0;FALSE;FALSE;Turbine operational
01 01 2018 21:10;202;1,332;0;360,13;0;FALSE;FALSE;Turbine starting
01 01 2018 21:20;20;1,312;0;360,44;0;FALSE;FALSE;Turbine in operation
01 01 2018 21:30;203;1,324;0;360,44;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 21:40;203;1,324;0;3,6;0;TRUE;FALSE;Maintenance
01 01 2018 21:50;0;1,303;0;355,47;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 22:00;201;0,13;360;347,94;0;FALSE;FALSE;Turbine in operation
01 01 2018 22:10;201;1,29;360;34,72;0;FALSE;FALSE;Calibration of  load control
01 01 2018 22:20;201;1,277;359;349,15;0;FALSE;FALSE;Turbine starting
01 01 2018 22:30;201;1,29;36;353,7;0;FALSE;FALSE;Turbine in operation
01 01 2018 22:40;203;1,274;359;352,87;0;FALSE;FALSE;Mains failure : Undervoltage L1
01 01 2018 22:50;203;0,123;356;35,82;0;FALSE;FALSE;Remote control PC : switched off
01 01 2018 23:00;202;0,124;357;35,7;0;FALSE;FALSE;Remote control PC : switched on
01 01 2018 23:10;202;1,254;358;359,76;0;FALSE;FALSE;Turbine reset : Power failure
01 01 2018 23:20;20;1,268;359;344,1;0;FALSE;FALSE;Processor reset : Fan inverter
01 01 2018 23:30;197;1,3;0;337,4;0;FALSE;FALSE;Processor reset : Power Control
01 01 2018 23:40;196;1,33;0;336,98;0;FALSE;FALSE;Mains failure : Start delay
01 01 2018 23:50;195;1,284;360;337,59;0;FALSE;FALSE;Start lead-up
02 01 2018 00:00;196;1,271;359;337,76;0;FALSE;FALSE;Turbine operational
02 01 2018 00:10;198;1,218;355;337,44;0;FALSE;FALSE;Turbine starting
02 01 2018 00:20;197;1,221;355;34,01;0;FALSE;FALSE;Calibration of  load control
02 01 2018 00:30;194;1,26;359;3,47;0;FALSE;FALSE;Turbine starting
02 01 2018 00:40;194;1,284;36;351,18;0;FALSE;FALSE;Turbine in operation
02 01 2018 00:50;196;1,25;358;353,68;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 01:00;198;1,21;354;346,78;0;FALSE;FALSE;Turbine operational
02 01 2018 01:10;201;1,22;355;346,07;0;FALSE;FALSE;Turbine starting
02 01 2018 01:20;201;1,255;358;358,94;0;FALSE;FALSE;Turbine in operation
02 01 2018 01:30;203;1,262;359;352,77;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 01:40;2;0,131;0;356,13;0;FALSE;FALSE;Turbine operational
02 01 2018 01:50;199;1,369;0;360,41;0;FALSE;FALSE;Turbine starting
02 01 2018 02:00;20;1,41;0;360,42;0;FALSE;FALSE;Turbine in operation
02 01 2018 02:10;196;1,439;0;359,32;1;FALSE;FALSE;Mains failure : Undervoltage L1
02 01 2018 02:20;198;1,408;0;349,38;0;FALSE;FALSE;Remote control PC : switched off
02 01 2018 02:30;197;1,405;0;347,07;0;FALSE;FALSE;Remote control PC : switched on
02 01 2018 02:40;196;1,351;0;343,66;0;FALSE;FALSE;Turbine reset : Power failure
02 01 2018 02:50;192;1,371;0;3,4;0;FALSE;FALSE;Processor reset : Power Control
02 01 2018 03:00;191;1,374;0;339,52;0;FALSE;FALSE;Feeding fault : No zero crossing inverter 5
02 01 2018 03:10;192;1,314;0;0,34;0;FALSE;FALSE;Start lead-up
02 01 2018 03:20;193;1,287;360;346,51;0;FALSE;FALSE;Turbine operational
02 01 2018 03:30;192;1,285;360;0,35;0;FALSE;FALSE;Turbine starting
02 01 2018 03:40;193;1,273;359;352,24;0;FALSE;FALSE;Calibration of  load control
02 01 2018 03:50;195;1,252;358;351,01;0;FALSE;FALSE;Turbine starting
02 01 2018 04:00;196;1,26;359;351,38;0;FALSE;FALSE;Turbine in operation
02 01 2018 04:10;196;1,323;0;356,4;0;FALSE;TRUE;Timeout warnmessage : Malfunction aircooling
02 01 2018 04:20;199;1,309;0;347,53;0;FALSE;FALSE;Turbine reset : Scada system
02 01 2018 04:30;198;1,292;360;356,2;0;FALSE;FALSE;Mains failure : Start delay
02 01 2018 04:40;198;1,263;359;352,16;0;FALSE;FALSE;Turbine operational
02 01 2018 04:50;201;1,283;360;349,36;0;FALSE;FALSE;Turbine starting
02 01 2018 05:00;200;1,254;358;355,53;0;FALSE;FALSE;Calibration of  load control
02 01 2018 05:10;197;1,21;354;33,77;0;FALSE;FALSE;Turbine starting
02 01 2018 05:20;200;1,236;36;3,48;0;FALSE;FALSE;Turbine in operation
02 01 2018 05:30;201;1,26;359;353,91;0;FALSE;TRUE;Timeout warnmessage : Malfunction aircooling
02 01 2018 05:40;199;1,221;355;343,04;0;FALSE;FALSE;Turbine reset : Scada system
02 01 2018 05:50;203;1,199;352;0,33;0;FALSE;FALSE;Mains failure : Start delay
02 01 2018 06:00;201;1,168;346;32,36;0;FALSE;FALSE;Turbine operational
02 01 2018 06:10;198;1,247;358;351,9;0;FALSE;FALSE;Turbine starting
02 01 2018 06:20;201;1,249;358;3,47;0;FALSE;FALSE;Calibration of  load control
02 01 2018 06:30;20;1,179;349;329,62;0;FALSE;FALSE;Turbine starting
02 01 2018 06:40;199;1,09;324;304,55;0;FALSE;FALSE;Turbine in operation
02 01 2018 06:50;203;1,219;35;344,47;0;FALSE;TRUE;Timeout warnmessage : Malfunction aircooling
02 01 2018 07:00;199;1,198;352;0,34;0;FALSE;FALSE;Turbine reset : Scada system
02 01 2018 07:10;197;1,067;314;280,76;0;FALSE;FALSE;Mains failure : Start delay
02 01 2018 07:20;200;9,697;259;249,34;0;FALSE;FALSE;Turbine operational
02 01 2018 07:30;200;1,142;34;321,52;0;FALSE;FALSE;Turbine starting
02 01 2018 07:40;200;1,269;359;358,96;0;FALSE;FALSE;Calibration of  load control
02 01 2018 07:50;201;1,306;0;359,91;24;FALSE;FALSE;Turbine starting
02 01 2018 08:00;196;1,152;343;337,52;0;FALSE;FALSE;Turbine in operation
02 01 2018 08:10;198;1,151;342;334,7;0;FALSE;TRUE;Timeout warnmessage : Malfunction aircooling
02 01 2018 08:20;199;1,242;357;356,8;0;FALSE;FALSE;Turbine reset : Scada system
02 01 2018 08:30;198;1,216;35;351,93;0;FALSE;FALSE;Mains failure : Start delay
02 01 2018 08:40;195;1,167;346;348,52;0;FALSE;FALSE;Turbine operational
02 01 2018 08:50;20;1,115;332;314,56;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 09:00;19;1,077;3;297,83;0;FALSE;FALSE;Turbine operational
02 01 2018 09:10;195;0,109;325;317,9;0;FALSE;FALSE;Turbine starting
02 01 2018 09:20;198;1,214;354;34,62;0;FALSE;FALSE;Calibration of  load control
02 01 2018 09:30;201;1,12;334;308,25;0;FALSE;FALSE;Turbine starting
02 01 2018 09:40;204;1,295;360;349,37;0;FALSE;FALSE;Turbine in operation
02 01 2018 09:50;198;1,488;0;36,01;0;FALSE;FALSE;Calibration of  load control
02 01 2018 10:00;196;0,151;0;359,76;0;FALSE;FALSE;Turbine starting
02 01 2018 10:10;197;1,629;0;360,22;0;FALSE;FALSE;Turbine in operation
02 01 2018 10:20;192;1,612;0;360,2;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 10:30;191;1,527;0;3,6;0;FALSE;FALSE;Turbine stopped : Scada System (ENERCON)
02 01 2018 10:40;193;0,014;0;#VÆRDI!;0;FALSE;FALSE;Remote control PC : switched off
02 01 2018 10:50;195;1,537;0;360,18;0;FALSE;FALSE;Remote control PC : switched on
02 01 2018 11:00;195;1,586;0;36,02;0;FALSE;FALSE;Turbine reset : Power failure
02 01 2018 11:10;198;1,492;0;359,17;2;FALSE;FALSE;Turbine stopped : Control cabinet
02 01 2018 11:20;201;1,361;0;357,9;0;FALSE;FALSE;Processor reset : Fan inverter
02 01 2018 11:30;200;1,446;0;359,81;0;FALSE;FALSE;Processor reset : Power Control
02 01 2018 11:40;202;1,269;359;35,25;0;FALSE;FALSE;Feeding fault : No zero crossing inverter 1
02 01 2018 11:50;202;0,136;0;356,07;0;FALSE;FALSE;Turbine stopped : Control cabinet
02 01 2018 12:00;203;1,332;0;353,77;0;FALSE;FALSE;Turbine reset : Power failure
02 01 2018 12:10;201;1,261;359;3,49;0;FALSE;FALSE;Turbine stopped : Control cabinet
02 01 2018 12:20;20;1,231;356;353,08;0;FALSE;FALSE;Processor reset : Fan inverter
02 01 2018 12:30;201;1,038;301;291,58;0;FALSE;FALSE;Processor reset : Power Control
02 01 2018 12:40;201;9,117;222;217,87;0;FALSE;FALSE;Turbine stopped : Control cabinet
02 01 2018 12:50;199;9,253;231;2,24;0;TRUE;FALSE;Maintenance
02 01 2018 13:00;198;0,907;219;127,89;0;FALSE;FALSE;Turbine stopped : Scada System (ENERCON)
02 01 2018 13:10;197;0,103;299;283,29;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 13:20;200;1,11;331;320,6;0;FALSE;FALSE;Turbine operational
02 01 2018 13:30;20;0,111;330;314,93;0;FALSE;FALSE;Turbine starting
02 01 2018 13:40;201;0,113;338;327,37;0;FALSE;FALSE;Turbine in operation
02 01 2018 13:50;205;1,102;328;311,41;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 14:00;20;0,109;32;311,11;0;FALSE;FALSE;Cable twisted : Right (2-3 turns)
02 01 2018 14:10;210;1,177;348;336,1;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 14:20;210;1,187;350;3,42;0;FALSE;FALSE;Turbine operational
02 01 2018 14:30;208;1,217;4;352,01;0;FALSE;FALSE;Turbine starting
02 01 2018 14:40;21;1,282;360;358,94;0;FALSE;FALSE;Turbine in operation
02 01 2018 14:50;209;1,257;36;349,51;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 15:00;0;0,114;340;329,88;0;FALSE;FALSE;Turbine operational
02 01 2018 15:10;201;1,055;309;289,44;0;FALSE;FALSE;Turbine starting
02 01 2018 15:20;202;1,231;356;0,35;0;FALSE;FALSE;Turbine in operation
02 01 2018 15:30;0;1,217;355;34,55;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 15:40;205;1,229;356;355,68;0;FALSE;FALSE;Turbine operational
02 01 2018 15:50;202;1,201;352;0,34;0;FALSE;FALSE;Turbine starting
02 01 2018 16:00;202;1,221;355;349,4;0;FALSE;FALSE;Turbine in operation
02 01 2018 16:10;200;1,294;360;354,91;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 16:20;204;1,367;0;348,33;0;FALSE;FALSE;Turbine operational
02 01 2018 16:30;205;1,37;0;358,99;0;FALSE;FALSE;Turbine starting
02 01 2018 16:40;203;1,276;359;358,42;0;FALSE;FALSE;Turbine in operation
02 01 2018 16:50;201;1,277;359;359,9;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 17:00;203;1,308;0;360,26;0;FALSE;FALSE;Turbine operational
02 01 2018 17:10;205;0,126;359;355,06;0;FALSE;FALSE;Turbine starting
02 01 2018 17:20;205;1,251;358;355,28;0;FALSE;FALSE;Turbine in operation
02 01 2018 17:30;204;0,125;358;358,5;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 17:40;202;1,196;352;342,12;0;FALSE;FALSE;Turbine operational
02 01 2018 17:50;194;1,195;351;34,06;0;FALSE;FALSE;Turbine starting
02 01 2018 18:00;190;1,221;355;351,56;0;FALSE;FALSE;Turbine in operation
02 01 2018 18:10;191;1,228;356;351,6;0;FALSE;FALSE;Cable twisted : Right (2-3 turns)
02 01 2018 18:20;188;1,272;359;34,75;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 18:30;189;1,227;356;347,12;0;FALSE;FALSE;Turbine operational
02 01 2018 18:40;192;1,17;347;32,82;0;FALSE;FALSE;Turbine starting
02 01 2018 18:50;190;1,096;326;295,51;0;FALSE;FALSE;Turbine in operation
02 01 2018 19:00;193;1,13;34;306,17;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 19:10;194;1,067;314;267,91;0;FALSE;FALSE;Turbine operational
02 01 2018 19:20;195;1,083;321;27,21;0;FALSE;FALSE;Turbine starting
02 01 2018 19:30;195;1,058;310;264,91;0;FALSE;FALSE;Turbine in operation
02 01 2018 19:40;202;1,039;301;270,77;0;FALSE;FALSE;Overtemperature : Power choke inverter 4
02 01 2018 19:50;204;1,008;284;0,25;3;FALSE;FALSE;Turbine operational
02 01 2018 20:00;200;9,839;269;231,66;0;FALSE;FALSE;Turbine starting
02 01 2018 20:10;200;1,144;341;0,31;0;FALSE;FALSE;Turbine in operation
02 01 2018 20:20;201;1,194;351;339,76;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 20:30;20;1,186;350;339,17;0;FALSE;FALSE;Turbine operational
02 01 2018 20:40;201;1,281;36;358,75;0;FALSE;FALSE;Turbine starting
02 01 2018 20:50;202;1,291;360;360,31;0;FALSE;FALSE;Turbine in operation
02 01 2018 21:00;202;1,273;359;359,11;0;FALSE;FALSE;Calibration of  load control
02 01 2018 21:10;203;1,166;346;3,22;0;FALSE;FALSE;Turbine starting
02 01 2018 21:20;204;0,111;331;288,77;0;FALSE;FALSE;Turbine in operation
02 01 2018 21:30;203;1,016;29;236,45;0;FALSE;TRUE;Timeout warnmessage : Malfunction aircooling
02 01 2018 21:40;198;9,202;228;193,58;0;FALSE;FALSE;Turbine reset : Scada system
02 01 2018 21:50;196;8,539;185;154,95;0;FALSE;FALSE;Mains failure : Start delay
02 01 2018 22:00;187;8,809;202;162,58;0;FALSE;FALSE;Turbine operational
02 01 2018 22:10;188;9,608;252;199,42;0;FALSE;FALSE;Turbine starting
02 01 2018 22:20;191;9,845;269;0;0;FALSE;FALSE;Calibration of  load control
02 01 2018 22:30;197;9,339;236;209,78;0;FALSE;FALSE;Turbine starting
02 01 2018 22:40;197;8,425;178;156,46;0;FALSE;FALSE;Turbine in operation
02 01 2018 22:50;189;7,656;134;110,75;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 23:00;182;8,145;161;130,31;0;FALSE;FALSE;Turbine operational
02 01 2018 23:10;174;8,547;186;156,12;0;FALSE;FALSE;Turbine starting
02 01 2018 23:20;171;8,382;176;15,45;0;FALSE;FALSE;Turbine in operation
02 01 2018 23:30;180;7,85;145;145,67;0;FALSE;FALSE;Lack of wind : Wind speed to low
02 01 2018 23:40;188;8,657;193;179,56;0;FALSE;FALSE;Turbine operational
02 01 2018 23:50;179;1,092;324;2,77;0;FALSE;FALSE;Turbine starting
03 01 2018 00:00;177;0,104;302;278,26;0;FALSE;FALSE;Turbine in operation
03 01 2018 00:10;175;9,498;247;244,64;0;FALSE;FALSE;Lack of wind : Wind speed to low
03 01 2018 00:20;181;1,193;351;341,24;0;FALSE;FALSE;Turbine operational
03 01 2018 00:30;184;1,108;330;3,26;0;FALSE;FALSE;Turbine starting
03 01 2018 00:40;192;1,046;305;2,8;0;FALSE;FALSE;Turbine in operation
03 01 2018 00:50;197;9,791;266;24,68;0;FALSE;FALSE;Lack of wind : Wind speed to low
03 01 2018 01:00;203;7,626;132;127,89;0;FALSE;FALSE;Turbine operational
03 01 2018 01:10;207;7,288;1;104,25;0;FALSE;FALSE;Turbine starting
03 01 2018 01:20;217;6,228;70;0,61;0;FALSE;FALSE;Turbine in operation
03 01 2018 01:30;223;4,472;216;175,44;0;FALSE;FALSE;Lack of wind : Wind speed to low
03 01 2018 01:40;215;4,128;147;112,11;0;FALSE;FALSE;Cable twisted : Right (2-3 turns)
03 01 2018 01:50;203;5,033;344;271,92;0;FALSE;FALSE;Lack of wind : Wind speed to low
03 01 2018 02:00;211;6,267;718;737,45;0;FALSE;FALSE;Turbine operational
03 01 2018 02:10;194;7,763;140;137,56;0;FALSE;FALSE;Turbine starting
03 01 2018 02:20;172;8,22;166;152,09;0;FALSE;FALSE;Turbine in operation
03 01 2018 02:30;168;0,797;152;134,91;0;FALSE;FALSE;Turbine in operation during maintenance
03 01 2018 02:40;171;6,794;926;889,13;0;FALSE;FALSE;Turbine in operation
03 01 2018 02:50;163;5,536;48;412,12;0;FALSE;FALSE;Turbine in operation during maintenance
03 01 2018 03:00;150;5,492;467;444,6;0;TRUE;FALSE;Maintenance
03 01 2018 03:10;150;6,077;650;655,73;0;FALSE;FALSE;Turbine in operation during maintenance
